sequence_id,label,label_name,motif_combo,num_selected_motifs,SP2,ZBED4,EGR1,ELK3,TFDP1,ZNF131,split
train_positive_FP017329,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_7123,0,negative,none,0,0,0,0,0,0,0,train
test_negative_16409,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14676,0,negative,none,0,0,0,0,0,0,0,train
train_negative_10964,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_12593,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP003448,1,positive,none,0,0,0,0,0,0,0,train
test_negative_16331,0,negative,SP2,1,1,0,0,0,0,0,train
test_negative_3316,0,negative,none,0,0,0,0,0,0,0,train
train_negative_12849,0,negative,ELK3,1,0,0,0,1,0,0,train
test_positive_FP002826,1,positive,none,0,0,0,0,0,0,0,train
test_negative_7502,0,negative,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP000652,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_negative_2638,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6812,0,negative,none,0,0,0,0,0,0,0,train
test_negative_1320,0,negative,none,0,0,0,0,0,0,0,train
test_negative_2578,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6780,0,negative,none,0,0,0,0,0,0,0,train
train_negative_769,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_186,0,negative,none,0,0,0,0,0,0,0,train
train_negative_9819,0,negative,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP000484,1,positive,none,0,0,0,0,0,0,0,train
train_negative_13403,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006561,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_positive_FP010245,1,positive,none,0,0,0,0,0,0,0,train
train_negative_3217,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP007938,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP000698,1,positive,none,0,0,0,0,0,0,0,train
test_positive_FP012702,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP003851,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_13882,0,negative,none,0,0,0,0,0,0,0,train
train_negative_10068,0,negative,none,0,0,0,0,0,0,0,train
train_negative_8809,0,negative,none,0,0,0,0,0,0,0,train
train_negative_889,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP004558,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP000641,1,positive,none,0,0,0,0,0,0,0,train
test_negative_3635,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13017,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP004844,1,positive,EGR1,1,0,0,1,0,0,0,train
train_positive_FP009251,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_15442,0,negative,EGR1,1,0,0,1,0,0,0,train
train_positive_FP008737,1,positive,none,0,0,0,0,0,0,0,train
train_negative_6091,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6308,0,negative,none,0,0,0,0,0,0,0,train
train_negative_7148,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012079,1,positive,none,0,0,0,0,0,0,0,train
train_negative_8305,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5407,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_2594,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP008773,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP010199,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_positive_FP006875,1,positive,none,0,0,0,0,0,0,0,train
test_negative_14998,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP003279,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP010496,1,positive,none,0,0,0,0,0,0,0,train
train_negative_3359,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP016624,1,positive,SP2,1,1,0,0,0,0,0,train
test_negative_10711,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_11596,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006823,1,positive,none,0,0,0,0,0,0,0,train
train_negative_14673,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5017,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006617,1,positive,none,0,0,0,0,0,0,0,train
train_negative_489,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP002623,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP009502,1,positive,none,0,0,0,0,0,0,0,train
train_negative_4752,0,negative,none,0,0,0,0,0,0,0,train
test_negative_4950,0,negative,none,0,0,0,0,0,0,0,train
train_negative_16337,0,negative,TFDP1,1,0,0,0,0,1,0,train
train_negative_7743,0,negative,ZBED4,1,0,1,0,0,0,0,train
test_negative_15357,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1825,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11424,0,negative,ZNF131,1,0,0,0,0,0,1,train
train_negative_5738,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012265,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP000823,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_6541,0,negative,SP2+ZBED4,2,1,1,0,0,0,0,train
train_positive_FP013226,1,positive,SP2,1,1,0,0,0,0,0,train
test_negative_13297,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11114,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_12942,0,negative,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP008222,1,positive,none,0,0,0,0,0,0,0,train
train_negative_11995,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5675,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006249,1,positive,none,0,0,0,0,0,0,0,train
train_negative_4471,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6553,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1735,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP003169,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP016777,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP000157,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_62,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP018777,1,positive,none,0,0,0,0,0,0,0,train
train_negative_3350,0,negative,none,0,0,0,0,0,0,0,train
test_negative_925,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5606,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_4623,0,negative,none,0,0,0,0,0,0,0,train
test_negative_7051,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6430,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP009813,1,positive,none,0,0,0,0,0,0,0,train
train_negative_16197,0,negative,EGR1,1,0,0,1,0,0,0,train
train_positive_FP016208,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP007287,1,positive,none,0,0,0,0,0,0,0,train
test_positive_FP014728,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP019662,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_11224,0,negative,none,0,0,0,0,0,0,0,train
train_negative_8258,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1649,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP001437,1,positive,none,0,0,0,0,0,0,0,train
test_positive_FP006738,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_positive_FP004003,1,positive,none,0,0,0,0,0,0,0,train
test_negative_1870,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006314,1,positive,none,0,0,0,0,0,0,0,train
test_negative_13505,0,negative,none,0,0,0,0,0,0,0,train
train_negative_8071,0,negative,none,0,0,0,0,0,0,0,train
test_negative_1978,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5563,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP019536,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_positive_FP013857,1,positive,EGR1,1,0,0,1,0,0,0,train
test_positive_FP003098,1,positive,none,0,0,0,0,0,0,0,train
train_negative_12989,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP010855,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP003905,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP014037,1,positive,none,0,0,0,0,0,0,0,train
train_negative_13129,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP013686,1,positive,none,0,0,0,0,0,0,0,train
train_negative_8521,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP004331,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_negative_7199,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3553,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP009110,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_16013,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP004667,1,positive,none,0,0,0,0,0,0,0,train
train_negative_1077,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13582,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP012672,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP014642,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP005739,1,positive,none,0,0,0,0,0,0,0,train
test_negative_12507,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP017823,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP015521,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP014617,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_6426,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP002701,1,positive,EGR1,1,0,0,1,0,0,0,train
train_positive_FP000269,1,positive,none,0,0,0,0,0,0,0,train
train_negative_13226,0,negative,none,0,0,0,0,0,0,0,train
test_negative_6703,0,negative,none,0,0,0,0,0,0,0,train
train_negative_2482,0,negative,none,0,0,0,0,0,0,0,train
train_negative_9781,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_13921,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001940,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_5594,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001884,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
test_negative_6389,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001967,1,positive,none,0,0,0,0,0,0,0,train
train_negative_12213,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP017420,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_positive_FP007274,1,positive,none,0,0,0,0,0,0,0,train
train_negative_13837,0,negative,none,0,0,0,0,0,0,0,train
train_negative_663,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP009265,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_negative_14899,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP016451,1,positive,none,0,0,0,0,0,0,0,train
train_negative_11450,0,negative,none,0,0,0,0,0,0,0,train
train_negative_12394,0,negative,ZNF131,1,0,0,0,0,0,1,train
test_negative_14055,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP019284,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_negative_9519,0,negative,none,0,0,0,0,0,0,0,train
test_negative_6765,0,negative,none,0,0,0,0,0,0,0,train
train_negative_9817,0,negative,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_15990,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP010224,1,positive,none,0,0,0,0,0,0,0,train
test_negative_12284,0,negative,none,0,0,0,0,0,0,0,train
test_negative_12707,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP000436,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_4042,0,negative,none,0,0,0,0,0,0,0,train
test_negative_8423,0,negative,none,0,0,0,0,0,0,0,train
test_negative_7793,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13749,0,negative,none,0,0,0,0,0,0,0,train
train_negative_12601,0,negative,EGR1,1,0,0,1,0,0,0,train
train_positive_FP014706,1,positive,none,0,0,0,0,0,0,0,train
train_negative_5935,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11559,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP004454,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_negative_7381,0,negative,ZBED4,1,0,1,0,0,0,0,train
train_negative_13836,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP008871,1,positive,none,0,0,0,0,0,0,0,train
test_negative_6188,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP007729,1,positive,none,0,0,0,0,0,0,0,train
train_negative_14255,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11268,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP004304,1,positive,none,0,0,0,0,0,0,0,train
test_negative_15958,0,negative,none,0,0,0,0,0,0,0,train
test_negative_10947,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_5538,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13411,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP013994,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_10694,0,negative,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP014048,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_14491,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP011607,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_positive_FP006040,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP011625,1,positive,none,0,0,0,0,0,0,0,train
train_negative_6116,0,negative,none,0,0,0,0,0,0,0,train
test_negative_13711,0,negative,none,0,0,0,0,0,0,0,train
test_negative_2225,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP018410,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP005504,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP003503,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_14785,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP003619,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP003901,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_3140,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006244,1,positive,none,0,0,0,0,0,0,0,train
test_negative_14721,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3882,0,negative,none,0,0,0,0,0,0,0,train
train_negative_2176,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP003253,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_negative_286,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP005423,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP001480,1,positive,ELK3,1,0,0,0,1,0,0,train
train_negative_6518,0,negative,none,0,0,0,0,0,0,0,train
train_negative_4570,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006577,1,positive,none,0,0,0,0,0,0,0,train
test_negative_2450,0,negative,none,0,0,0,0,0,0,0,train
train_negative_16113,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13429,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001523,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP007119,1,positive,SP2,1,1,0,0,0,0,0,train
test_negative_4089,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP016143,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_negative_353,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001749,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP012167,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_1104,0,negative,none,0,0,0,0,0,0,0,train
train_negative_12186,0,negative,none,0,0,0,0,0,0,0,train
train_negative_6295,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_6773,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_5872,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP002921,1,positive,none,0,0,0,0,0,0,0,train
test_negative_8845,0,negative,none,0,0,0,0,0,0,0,train
train_negative_2895,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11253,0,negative,SP2,1,1,0,0,0,0,0,train
test_positive_FP004107,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_1257,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001677,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP004418,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_1413,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP013948,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP018367,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP001853,1,positive,ELK3,1,0,0,0,1,0,0,train
train_positive_FP005302,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP015301,1,positive,none,0,0,0,0,0,0,0,train
test_negative_410,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP019530,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP011683,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP012249,1,positive,none,0,0,0,0,0,0,0,train
test_negative_7019,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP015694,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_9643,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP008187,1,positive,none,0,0,0,0,0,0,0,train
train_negative_9708,0,negative,none,0,0,0,0,0,0,0,train
test_negative_4919,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP006656,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP006705,1,positive,none,0,0,0,0,0,0,0,train
train_negative_11372,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP015373,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP018175,1,positive,none,0,0,0,0,0,0,0,train
test_positive_FP000430,1,positive,none,0,0,0,0,0,0,0,train
train_negative_11387,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP018025,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP018115,1,positive,none,0,0,0,0,0,0,0,train
train_negative_11928,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13171,0,negative,none,0,0,0,0,0,0,0,train
train_negative_15158,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_2564,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP002555,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_negative_13247,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP004261,1,positive,SP2,1,1,0,0,0,0,0,train
train_positive_FP004336,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_negative_6981,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1550,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_521,0,negative,none,0,0,0,0,0,0,0,train
train_negative_2637,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP008515,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_10570,0,negative,ZNF131,1,0,0,0,0,0,1,train
train_negative_14133,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP016094,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_7355,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_14884,0,negative,ZNF131,1,0,0,0,0,0,1,train
train_negative_13547,0,negative,none,0,0,0,0,0,0,0,train
train_negative_8325,0,negative,none,0,0,0,0,0,0,0,train
train_negative_950,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP011072,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_positive_FP001196,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_6471,0,negative,EGR1,1,0,0,1,0,0,0,train
test_negative_2400,0,negative,none,0,0,0,0,0,0,0,train
train_negative_203,0,negative,none,0,0,0,0,0,0,0,train
train_negative_10112,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP011286,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP011546,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_positive_FP002046,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
test_negative_8473,0,negative,none,0,0,0,0,0,0,0,train
train_negative_1618,0,negative,none,0,0,0,0,0,0,0,train
test_negative_2754,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_3631,0,negative,none,0,0,0,0,0,0,0,train
train_negative_990,0,negative,TFDP1,1,0,0,0,0,1,0,train
train_negative_13495,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14375,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP018473,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_1176,0,negative,none,0,0,0,0,0,0,0,train
test_negative_479,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP002730,1,positive,SP2,1,1,0,0,0,0,0,train
train_negative_5419,0,negative,none,0,0,0,0,0,0,0,train
test_negative_7567,0,negative,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
test_positive_FP003406,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_12657,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006679,1,positive,none,0,0,0,0,0,0,0,train
train_negative_2666,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP011589,1,positive,TFDP1,1,0,0,0,0,1,0,train
train_negative_356,0,negative,none,0,0,0,0,0,0,0,train
train_negative_2398,0,negative,none,0,0,0,0,0,0,0,train
train_negative_13139,0,negative,none,0,0,0,0,0,0,0,train
test_negative_8027,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP002946,1,positive,none,0,0,0,0,0,0,0,train
train_negative_4591,0,negative,EGR1,1,0,0,1,0,0,0,train
train_negative_6775,0,negative,none,0,0,0,0,0,0,0,train
train_negative_5669,0,negative,none,0,0,0,0,0,0,0,train
test_negative_6521,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001198,1,positive,SP2,1,1,0,0,0,0,0,train
test_negative_14981,0,negative,SP2+ZBED4,2,1,1,0,0,0,0,train
test_negative_102,0,negative,none,0,0,0,0,0,0,0,train
test_negative_15914,0,negative,none,0,0,0,0,0,0,0,train
train_negative_14840,0,negative,none,0,0,0,0,0,0,0,train
train_negative_295,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP001590,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP012777,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_positive_FP000872,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP004803,1,positive,EGR1,1,0,0,1,0,0,0,train
train_negative_2153,0,negative,none,0,0,0,0,0,0,0,train
train_negative_8273,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_12184,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP017327,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_positive_FP006369,1,positive,none,0,0,0,0,0,0,0,train
test_negative_3595,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP015630,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP006039,1,positive,SP2+ZBED4+ZNF131,3,1,1,0,0,0,1,train
train_negative_5308,0,negative,none,0,0,0,0,0,0,0,train
train_negative_11313,0,negative,SP2,1,1,0,0,0,0,0,train
train_negative_11700,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006961,1,positive,none,0,0,0,0,0,0,0,train
train_negative_8622,0,negative,none,0,0,0,0,0,0,0,train
train_negative_12257,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP008306,1,positive,none,0,0,0,0,0,0,0,train
train_negative_11608,0,negative,ELK3,1,0,0,0,1,0,0,train
train_negative_3354,0,negative,none,0,0,0,0,0,0,0,train
test_positive_FP011784,1,positive,none,0,0,0,0,0,0,0,train
test_negative_14877,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP016171,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_12373,0,negative,SP2,1,1,0,0,0,0,0,train
train_positive_FP010248,1,positive,SP2,1,1,0,0,0,0,0,train
test_positive_FP001147,1,positive,ZBED4,1,0,1,0,0,0,0,train
train_positive_FP012532,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
train_negative_1846,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP007544,1,positive,none,0,0,0,0,0,0,0,train
train_positive_FP017708,1,positive,SP2+ZBED4,2,1,1,0,0,0,0,train
test_negative_8523,0,negative,none,0,0,0,0,0,0,0,train
train_negative_4778,0,negative,none,0,0,0,0,0,0,0,train
train_negative_3188,0,negative,none,0,0,0,0,0,0,0,train
train_negative_9723,0,negative,none,0,0,0,0,0,0,0,train
train_positive_FP006710,1,positive,EGR1+SP2+ZBED4+ZNF131,4,1,1,1,0,0,1,train
train_negative_12921,0,negative,none,0,0,0,0,0,0,0,train
