species,genus,family,order,class,phylum,kingdom,superkingdom,species_str,has_sequence,split
1141883,149698,75682,80840,28216,1224,0,2,1141883,True,train
1145276,400634,186817,1385,91061,1239,0,2,1145276,True,id_novel_genus
1148,1142,1890428,1890424,3028117,1117,0,2,1148,True,train
1155739,1155738,1892254,1150,3028117,1117,0,2,1155739,True,train
1159327,1434032,85023,85006,1760,201174,0,2,1159327,True,train
1160,54304,1892252,1150,3028117,1117,0,2,1160,True,train
1160784,1301080,0,0,28216,1224,0,2,1160784,True,train
116090,171003,2848916,1737405,1737404,1239,0,2,116090,True,train
1162966,1434022,85023,85006,1760,201174,0,2,1162966,True,train
1164,264688,1162,1161,3028117,1117,0,2,1164,True,id_novel_genus
1165,1163,1162,1161,3028117,1117,0,2,1165,True,train
1165090,1165076,49546,200644,117743,976,0,2,1165090,True,ood_novel_family
1166950,53392,1046,135613,1236,1224,0,2,1166950,True,train
1170699,379068,49546,200644,117743,976,0,2,1170699,True,ood_novel_family
117157,117156,2805400,85009,1760,201174,0,2,117157,True,train
117207,165697,41297,204457,28211,1224,0,2,117207,True,train
1173025,63132,1892251,1150,3028117,1117,0,2,1173025,True,train
1173026,102231,1890464,1118,3028117,1117,0,2,1173026,True,train
1173032,217161,1890431,1890424,3028117,1117,0,2,1173032,True,train
1177211,2018044,119060,80840,28216,1224,0,2,1177211,True,train
1177712,1434011,433,204441,28211,1224,0,2,1177712,True,train
1179673,162491,85016,85006,1760,201174,0,2,1179673,True,train
118000,117999,2945019,191393,68337,200930,0,2,118000,True,train
118163,44474,1890500,52604,3028117,1117,0,2,118163,True,train
118323,1158,1892254,1150,3028117,1117,0,2,118323,True,train
1183401,357,82115,356,28211,1224,0,2,1183401,True,train
1184,47251,1890438,2881377,3028117,1117,0,2,1184,True,ood_novel_family
1184387,1184396,1643948,1643946,188708,200918,0,2,1184387,True,train
1185412,1348611,2603322,186802,186801,1239,0,2,1185412,True,train
118562,35823,1892252,1150,3028117,1117,0,2,118562,True,train
1188228,1188227,1955043,1955042,3028117,1117,0,2,1188228,True,train
1188319,1443590,90627,32003,28216,1224,0,2,1188319,True,train
119,1649490,126,112,203683,203682,0,2,119,True,train
1193095,2767890,33958,186826,91061,1239,0,2,1193095,True,train
1193713,2675232,186817,1385,91061,1239,0,2,1193713,True,id_novel_genus
119484,29526,213465,213462,3024408,200940,0,2,119484,True,train
1196083,1193515,481,206351,28216,1224,0,2,1196083,True,id_novel_genus
1196095,1193503,1240483,1240482,1236,1224,0,2,1196095,True,train
1197717,508459,649777,649776,649775,508458,0,2,1197717,True,id_novel_genus
119864,28253,135620,135619,1236,1224,0,2,119864,True,train
120,1649480,126,112,203683,203682,0,2,120,True,train
1208324,875170,2854170,204455,28211,1224,0,2,1208324,True,train
1209493,170610,2303730,2881377,3028117,1117,0,2,1209493,True,ood_novel_family
120962,120961,1508635,32064,32061,200795,0,2,120962,True,ood_novel_family
1210884,113,1914233,2691355,203683,203682,0,2,1210884,True,train
121719,227873,2821832,356,28211,1224,0,2,121719,True,id_novel_genus
1217908,53945,2854170,204455,28211,1224,0,2,1217908,True,id_novel_genus
1218801,221065,49546,200644,117743,976,0,2,1218801,True,ood_novel_family
1219,1218,2881426,1890424,3028117,1117,0,2,1219,True,id_novel_genus
1221500,1329200,186817,1385,91061,1239,0,2,1221500,True,train
1225128,1706033,433,204441,28211,1224,0,2,1225128,True,id_novel_genus
1225769,400060,1499392,206351,28216,1224,0,2,1225769,True,id_novel_genus
1229,1227,1046,135613,1236,1224,0,2,1229,True,train
1229164,1227948,41297,204457,28211,1224,0,2,1229164,True,train
1230341,351195,186817,1385,91061,1239,0,2,1230341,True,train
1231,35798,206379,32003,28216,1224,0,2,1231,True,ood_novel_family
1232575,119977,225058,225057,1807140,1224,0,2,1232575,True,train
1235591,1734920,0,356,28211,1224,0,2,1235591,True,id_novel_genus
1238,1237,135616,72273,1236,1224,0,2,1238,True,train
123824,1649317,712,135625,1236,1224,0,2,123824,True,train
1241979,2782231,2762318,200644,117743,976,0,2,1241979,True,id_novel_genus
1249552,1524249,0,0,1236,1224,0,2,1249552,True,id_novel_genus
1249553,1537406,135620,135619,1236,1224,0,2,1249553,True,train
125,123,2691357,2691354,203683,203682,0,2,125,True,train
1250539,263377,2854170,204455,28211,1224,0,2,1250539,True,id_novel_genus
1255,1253,33958,186826,91061,1239,0,2,1255,True,train
1259973,160674,543,91347,1236,1224,0,2,1259973,True,train
1260,150022,1570339,1737405,1737404,1239,0,2,1260,True,train
1263979,1263978,41295,204441,28211,1224,0,2,1263979,True,train
1264,1263,216572,186802,186801,1239,0,2,1264,True,id_novel_genus
1267021,1335631,1240483,1240482,1236,1224,0,2,1267021,True,train
1267766,2676755,335929,204457,28211,1224,0,2,1267766,True,train
1267768,1855413,31989,204455,28211,1224,0,2,1267768,True,train
1270,1269,1268,85006,1760,201174,0,2,1270,True,train
1274,57495,145357,85006,1760,201174,0,2,1274,True,train
1276,57499,2805426,85006,1760,201174,0,2,1276,True,ood_novel_family
1278232,1354809,2992719,1737405,1737404,1239,0,2,1278232,True,train
128,127,1763524,2691356,203683,203682,0,2,128,True,train
1280,1279,90964,1385,91061,1239,0,2,1280,True,train
1282737,1522056,2049,2037,1760,201174,0,2,1282737,True,train
1288970,1182780,2844866,204441,28211,1224,0,2,1288970,True,train
1293412,1649499,433,204441,28211,1224,0,2,1293412,True,train
1295382,1295378,403,135618,1236,1224,0,2,1295382,True,train
1295392,657,641,135623,1236,1224,0,2,1295392,True,train
1295609,1740,188711,188710,67799,200940,0,2,1295609,True,train
1296,2803850,90964,1385,91061,1239,0,2,1296,True,train
1296669,92793,0,80840,28216,1224,0,2,1296669,True,id_novel_genus
1297617,1392389,0,186802,186801,1239,0,2,1297617,True,train
129921,1813,2070,85010,1760,201174,0,2,129921,True,train
129958,129957,186814,68295,186801,1239,0,2,129958,True,ood_novel_family
129985,2675231,186817,1385,91061,1239,0,2,129985,True,id_novel_genus
1302411,1302410,543,91347,1236,1224,0,2,1302411,True,id_novel_genus
1302659,1372,186818,1385,91061,1239,0,2,1302659,True,train
1303590,2767878,33958,186826,91061,1239,0,2,1303590,True,train
1306787,3020833,224372,135619,1236,1224,0,2,1306787,True,ood_novel_family
1307,1301,1300,186826,91061,1239,0,2,1307,True,train
13076,13075,186827,186826,91061,1239,0,2,13076,True,ood_novel_family
1307761,1616789,137,136,203692,203691,0,2,1307761,True,train
1307763,1921784,1921783,1921782,1921781,134625,0,2,1307763,True,train
1307839,1970191,1970190,171549,200643,976,0,2,1307839,True,train
131568,33981,83778,622452,1760,201174,0,2,131568,True,train
1323375,1769008,0,53433,186801,1239,0,2,1323375,True,train
1323948,35800,407032,1293499,1293498,1293497,0,2,1323948,True,train
1331910,1676125,2691358,2691354,203683,203682,0,2,1331910,True,train
1332188,1331051,2171986,2093825,2093818,95818,0,2,1332188,True,train
1333996,1649510,41294,356,28211,1224,0,2,1333996,True,train
1334193,1330546,543,91347,1236,1224,0,2,1334193,True,train
133453,233191,475964,475963,475962,200795,0,2,133453,True,train
1335043,1573407,2831106,356,28211,1224,0,2,1335043,True,ood_novel_family
1335048,1775705,31989,204455,28211,1224,0,2,1335048,True,train
1335746,1335745,72276,135613,1236,1224,0,2,1335746,True,train
1336796,244698,49546,200644,117743,976,0,2,1336796,True,ood_novel_family
1336806,230494,255527,135619,1236,1224,0,2,1336806,True,ood_novel_family
133924,191028,2854170,204455,28211,1224,0,2,133924,True,id_novel_genus
133926,133925,1643824,84999,84998,201174,0,2,133926,True,train
134821,2129,2092,2085,31969,544448,0,2,134821,True,ood_novel_family
1348774,1295327,335929,204457,28211,1224,0,2,1348774,True,train
1353976,112987,92713,1963360,204429,204428,0,2,1353976,True,ood_novel_family
135577,135575,267893,135622,1236,1224,0,2,135577,True,train
1357545,98443,1162,1161,3028117,1117,0,2,1357545,True,train
1359,1357,1300,186826,91061,1239,0,2,1359,True,id_novel_genus
136073,748770,1892259,1161,3028117,1117,0,2,136073,True,train
136094,75905,64898,32069,187857,200783,0,2,136094,True,train
136609,1243,33958,186826,91061,1239,0,2,136609,True,train
1379870,107,89373,768507,768503,976,0,2,1379870,True,train
1379910,1379908,1853232,768507,768503,976,0,2,1379910,True,ood_novel_family
1380685,1274351,186824,1385,91061,1239,0,2,1380685,True,train
138072,568987,543,91347,1236,1224,0,2,138072,True,id_novel_genus
138118,138117,2008795,206389,28216,1224,0,2,138118,True,id_novel_genus
1382,2767353,1643824,84999,84998,201174,0,2,1382,True,id_novel_genus
138336,38501,85030,1643682,1760,201174,0,2,138336,True,id_novel_genus
1384459,1484898,45401,356,28211,1224,0,2,1384459,True,train
1387353,1763521,1763524,2691356,203683,203682,0,2,1387353,True,train
1391653,1524214,1524213,29,32015,2818505,0,2,1391653,True,train
1391654,1524217,1524216,3031712,0,2818505,0,2,1391654,True,train
139208,254250,85017,85006,1760,201174,0,2,139208,True,train
139438,46200,2945019,191393,68337,200930,0,2,139438,True,train
1397,2837506,186817,1385,91061,1239,0,2,1397,True,train
1397264,1522128,1522127,768507,768503,976,0,2,1397264,True,ood_novel_family
1397703,383614,1182,1161,3028117,1117,0,2,1397703,True,train
1398,2837504,186817,1385,91061,1239,0,2,1398,True,train
14,13,203488,203487,203486,68297,0,2,14,True,train
1400387,1400386,2691359,2691354,203683,203682,0,2,1400387,True,ood_novel_family
1402135,2854186,2854170,204455,28211,1224,0,2,1402135,True,train
1404864,374,41294,356,28211,1224,0,2,1404864,True,train
1408204,1408194,1783343,1783344,447830,74152,0,2,1408204,True,train
1410383,1682492,543,91347,1236,1224,0,2,1410383,True,train
1411902,2846749,31989,204455,28211,1224,0,2,1411902,True,id_novel_genus
1413,2837485,186817,1385,91061,1239,0,2,1413,True,id_novel_genus
141451,141450,191033,135619,1236,1224,0,2,141451,True,train
1415657,1940138,0,200644,117743,976,0,2,1415657,True,train
142,138,1643685,136,203692,203691,0,2,142,True,train
1423,1386,186817,1385,91061,1239,0,2,1423,True,train
1424294,390805,31979,186802,186801,1239,0,2,1424294,True,train
1424653,191301,224467,235899,3031852,29547,0,2,1424653,True,train
1426,1906945,186817,1385,91061,1239,0,2,1426,True,train
1427364,2841677,0,0,1236,1224,0,2,1427364,True,train
142864,56106,1162,1161,3028117,1117,0,2,142864,True,train
1432792,73778,403,135618,1236,1224,0,2,1432792,True,train
143361,44259,186804,186802,186801,1239,0,2,143361,True,train
1434191,1433402,2800061,2800059,28211,1224,0,2,1434191,True,id_novel_genus
1436133,2995702,2062,85011,1760,201174,0,2,1436133,True,train
1436290,1436289,80864,80840,28216,1224,0,2,1436290,True,train
1437009,2041902,31993,356,28211,1224,0,2,1437009,True,id_novel_genus
1441386,1769718,1769717,1769716,188708,200918,0,2,1441386,True,train
1443036,1520333,712,135625,1236,1224,0,2,1443036,True,train
1445505,1445504,255527,135619,1236,1224,0,2,1445505,True,ood_novel_family
1446467,89966,1853232,768507,768503,976,0,2,1446467,True,ood_novel_family
1447062,1827478,2831106,356,28211,1224,0,2,1447062,True,ood_novel_family
1449,29331,186817,1385,91061,1239,0,2,1449,True,train
1453352,389486,49546,200644,117743,976,0,2,1453352,True,ood_novel_family
1457365,2489367,3024158,1853223,1853221,1936987,0,2,1457365,True,train
1458425,2490452,80864,80840,28216,1224,0,2,1458425,True,train
1458461,1541445,2813035,356,28211,1224,0,2,1458461,True,train
1461582,227979,90964,1385,91061,1239,0,2,1461582,True,train
1462,129337,186817,1385,91061,1239,0,2,1462,True,id_novel_genus
1465,55080,186822,1385,91061,1239,0,2,1465,True,train
1467,2804231,186817,1385,91061,1239,0,2,1467,True,id_novel_genus
146786,146785,2881378,2881377,3028117,1117,0,2,146786,True,train
146919,146918,1853225,1853224,1853222,1853220,0,2,146919,True,train
146939,146937,75787,206389,28216,1224,0,2,146939,True,train
1470434,1434050,1706375,1706369,1236,1224,0,2,1470434,True,train
1471761,1677050,186824,1385,91061,1239,0,2,1471761,True,train
1472345,1472344,506,80840,28216,1224,0,2,1472345,True,id_novel_genus
147268,933,135616,72273,1236,1224,0,2,147268,True,train
1472767,175304,186817,1385,91061,1239,0,2,1472767,True,train
147322,2596745,2934961,1150,3028117,1117,0,2,147322,True,train
1473598,1649475,1962910,332160,204432,57723,0,2,1473598,True,train
1476,1569,186818,1385,91061,1239,0,2,1476,True,train
147709,2747,186828,186826,91061,1239,0,2,147709,True,train
1478,2675229,186817,1385,91061,1239,0,2,1478,True,train
1482,84406,186817,1385,91061,1239,0,2,1482,True,id_novel_genus
1482074,1572860,2843308,356,28211,1224,0,2,1482074,True,train
1484109,2804525,433,204441,28211,1224,0,2,1484109,True,train
1486034,291183,49546,200644,117743,976,0,2,1486034,True,ood_novel_family
1486262,293088,255475,356,28211,1224,0,2,1486262,True,id_novel_genus
148813,286130,2771471,213849,3031852,29547,0,2,148813,True,train
1490,1849822,31979,186802,186801,1239,0,2,1490,True,train
1492898,398041,563835,1853229,1853228,976,0,2,1492898,True,ood_novel_family
1496,1870884,186804,186802,186801,1239,0,2,1496,True,train
149715,160798,1643949,1643947,188708,200918,0,2,149715,True,train
1498,1769729,31979,186802,186801,1239,0,2,1498,True,train
1500254,55079,186822,1385,91061,1239,0,2,1500254,True,train
150123,190323,85023,85006,1760,201174,0,2,150123,True,train
1501392,1348911,2005519,171549,200643,976,0,2,1501392,True,train
150340,662,641,135623,1236,1224,0,2,150340,True,train
1505,1849828,186804,186802,186801,1239,0,2,1505,True,train
1505757,1649298,543,91347,1236,1224,0,2,1505757,True,train
150829,2951107,2951104,136,203692,203691,0,2,150829,True,id_novel_genus
1508404,157226,186818,1385,91061,1239,0,2,1508404,True,id_novel_genus
1509244,1509243,2100208,1921002,28211,1224,0,2,1509244,True,train
1510,2304691,216572,186802,186801,1239,0,2,1510,True,train
1510150,1649479,135621,72274,1236,1224,0,2,1510150,True,train
1510841,1602345,433,204441,28211,1224,0,2,1510841,True,train
1511,186831,186804,186802,186801,1239,0,2,1511,True,id_novel_genus
1513,1485,31979,186802,186801,1239,0,2,1513,True,train
1514105,1647,128827,526525,526524,1239,0,2,1514105,True,train
151895,1649482,84566,200666,117747,976,0,2,151895,True,train
1521,1508657,216572,186802,186801,1239,0,2,1521,True,train
1522,3025755,2810280,526525,526524,1239,0,2,1522,True,ood_novel_family
1525,44260,3039168,3039167,186801,1239,0,2,1525,True,ood_novel_family
1526571,1751872,72275,135622,1236,1224,0,2,1526571,True,train
1526572,1795639,255474,255473,28211,1224,0,2,1526572,True,train
1526658,85413,2831100,356,28211,1224,0,2,1526658,True,train
1528099,1847725,2805586,85007,1760,201174,0,2,1528099,True,train
1531429,2815775,1643826,1643822,84998,201174,0,2,1531429,True,id_novel_genus
1532552,704093,186817,1385,91061,1239,0,2,1532552,True,train
153493,334107,481,206351,28216,1224,0,2,153493,True,train
153496,153497,433,204441,28211,1224,0,2,153496,True,train
1535208,1535207,145357,85006,1760,201174,0,2,1535208,True,train
1537215,1679449,31989,204455,28211,1224,0,2,1537215,True,train
1537400,407217,1499392,206351,28216,1224,0,2,1537400,True,train
154,146,137,136,203692,203691,0,2,154,True,train
154046,1649459,31979,186802,186801,1239,0,2,154046,True,train
154288,191303,2810281,526525,526524,1239,0,2,154288,True,train
1543721,349742,0,0,1236,1224,0,2,1543721,True,train
1547448,2801844,31957,85009,1760,201174,0,2,1547448,True,train
1548547,1738655,1738654,135613,1236,1224,0,2,1548547,True,train
1548548,1779136,1779135,1779134,28221,0,0,2,1548548,True,train
1548602,57494,1268,85006,1760,201174,0,2,1548602,True,id_novel_genus
154981,1658781,31989,204455,28211,1224,0,2,154981,True,train
1549855,1804663,41295,204441,28211,1224,0,2,1549855,True,train
1550024,1905344,216572,186802,186801,1239,0,2,1550024,True,id_novel_genus
1550728,150203,41297,204457,28211,1224,0,2,1550728,True,id_novel_genus
1550733,2676781,41297,204457,28211,1224,0,2,1550733,True,id_novel_genus
155077,10,1706371,1706369,1236,1224,0,2,155077,True,train
1553431,1810868,119060,80840,28216,1224,0,2,1553431,True,train
1555112,1676651,1676650,1676649,1676648,1239,0,2,1555112,True,train
1556,1505664,2042895,1737405,1737404,1239,0,2,1556,True,train
155892,75,76892,204458,28211,1224,0,2,155892,True,train
155978,155977,1890429,1890424,3028117,1117,0,2,155978,True,train
1561003,2929841,0,80840,28216,1224,0,2,1561003,True,train
1561005,2924872,186807,186802,186801,1239,0,2,1561005,True,train
1565,1562,2937910,186802,186801,1239,0,2,1565,True,train
1565605,1914449,2008793,32003,28216,1224,0,2,1565605,True,id_novel_genus
1570,45667,186817,1385,91061,1239,0,2,1570,True,train
1575,110932,85023,85006,1760,201174,0,2,1575,True,train
157592,157591,2008793,32003,28216,1224,0,2,157592,True,train
157673,697331,712,135625,1236,1224,0,2,157673,True,train
157692,2755140,1129771,203491,203490,32066,0,2,157692,True,id_novel_genus
1578165,670516,1762,85007,1760,201174,0,2,1578165,True,train
1579316,2854182,2854170,204455,28211,1224,0,2,1579316,True,train
1579979,1676142,1676141,135613,1236,1224,0,2,1579979,True,train
158,157,2845253,136,203692,203691,0,2,158,True,train
158080,42054,28256,135619,1236,1224,0,2,158080,True,train
1581680,1679002,32011,32003,28216,1224,0,2,1581680,True,ood_novel_family
1582259,2692382,1737406,1737405,1737404,1239,0,2,1582259,True,train
158327,158481,224379,135619,1236,1224,0,2,158327,True,train
1585976,59735,2762318,200644,117743,976,0,2,1585976,True,train
1586287,165301,2070,85010,1760,201174,0,2,1586287,True,train
158822,158483,543,91347,1236,1224,0,2,158822,True,train
158841,82980,1903416,91347,1236,1224,0,2,158841,True,id_novel_genus
158849,158848,1903414,91347,1236,1224,0,2,158849,True,train
158877,158876,543,91347,1236,1224,0,2,158877,True,id_novel_genus
158899,202907,75682,80840,28216,1224,0,2,158899,True,train
1589,2767842,33958,186826,91061,1239,0,2,1589,True,id_novel_genus
1591409,1759417,31989,204455,28211,1224,0,2,1591409,True,train
159346,159345,2854170,204455,28211,1224,0,2,159346,True,train
1594731,1699619,543,91347,1236,1224,0,2,1594731,True,train
1597,2759736,33958,186826,91061,1239,0,2,1597,True,train
159743,44249,186822,1385,91061,1239,0,2,159743,True,id_novel_genus
1597781,1597779,0,80840,28216,1224,0,2,1597781,True,id_novel_genus
1603,2767876,33958,186826,91061,1239,0,2,1603,True,id_novel_genus
1603606,890,213421,69541,3031651,200940,0,2,1603606,True,train
1608628,119044,45401,356,28211,1224,0,2,1608628,True,train
1608957,908623,908622,908621,908620,201174,0,2,1608957,True,train
1609966,1433986,2854170,204455,28211,1224,0,2,1609966,True,id_novel_genus
1610493,72763,31957,85009,1760,201174,0,2,1610493,True,train
161154,202949,3039168,3039167,186801,1239,0,2,161154,True,ood_novel_family
1612173,1543704,2829815,204441,28211,1224,0,2,1612173,True,train
161493,161492,1524215,29,32015,2818505,0,2,161493,True,train
1618,2767888,33958,186826,91061,1239,0,2,1618,True,id_novel_genus
1618207,2078575,1268,85006,1760,201174,0,2,1618207,True,id_novel_genus
1619308,1759331,85023,85006,1760,201174,0,2,1619308,True,train
1619313,3026546,1903409,91347,1236,1224,0,2,1619313,True,train
1620215,1744881,1692041,1692040,1236,1224,0,2,1620215,True,train
1620816,1620790,1162,1161,3028117,1117,0,2,1620816,True,train
1621989,1902583,1902584,3031460,3031450,200940,0,2,1621989,True,train
1622118,358023,49546,200644,117743,976,0,2,1622118,True,ood_novel_family
1623,2767887,33958,186826,91061,1239,0,2,1623,True,train
1630135,36739,85020,85006,1760,201174,0,2,1630135,True,train
1630141,1980513,1046,135613,1236,1224,0,2,1630141,True,train
1632864,118,126,112,203683,203682,0,2,1632864,True,train
163359,986106,1692041,1692040,1236,1224,0,2,163359,True,id_novel_genus
1634516,72173,41297,204457,28211,1224,0,2,1634516,True,train
1635327,2894762,1240483,1240482,1236,1224,0,2,1635327,True,id_novel_genus
1639,1637,186820,1385,91061,1239,0,2,1639,True,train
1639108,1745211,1903411,91347,1236,1224,0,2,1639108,True,train
1642646,307628,2005520,171549,200643,976,0,2,1642646,True,train
164514,34098,39782,200644,117743,976,0,2,164514,True,ood_novel_family
164546,106589,119060,80840,28216,1224,0,2,164546,True,train
1646,1645,1268,85006,1760,201174,0,2,1646,True,train
1646377,1565532,1903411,91347,1236,1224,0,2,1646377,True,id_novel_genus
164759,238749,80864,80840,28216,1224,0,2,164759,True,id_novel_genus
1648404,2800681,335929,204457,28211,1224,0,2,1648404,True,train
165096,46255,33958,186826,91061,1239,0,2,165096,True,train
165179,2974251,171552,171549,200643,976,0,2,165179,True,train
1653434,1769710,186803,186802,186801,1239,0,2,1653434,True,train
1653476,444090,188711,188710,67799,200940,0,2,1653476,True,id_novel_genus
1653480,674734,2070,85010,1760,201174,0,2,1653480,True,train
1658616,256846,566277,278081,1313211,256845,0,2,1658616,True,train
1658665,65047,2975441,80840,28216,1224,0,2,1658665,True,ood_novel_family
1658671,267408,85021,85006,1760,201174,0,2,1658671,True,train
1661,1069494,2049,2037,1760,201174,0,2,1661,True,train
166485,166484,31979,186802,186801,1239,0,2,166485,True,train
166486,841,186803,186802,186801,1239,0,2,166486,True,id_novel_genus
166501,262406,0,0,0,200795,0,2,166501,True,train
166935,53246,267888,135622,1236,1224,0,2,166935,True,train
1670800,2911176,69277,356,28211,1224,0,2,1670800,True,id_novel_genus
1670830,1755825,1755824,1755823,908620,201174,0,2,1670830,True,train
1670831,1747770,1747769,1747768,908620,201174,0,2,1670831,True,train
1674922,478070,2821832,356,28211,1224,0,2,1674922,True,train
1675686,1692042,1692041,1692040,1236,1224,0,2,1675686,True,train
167642,167639,203492,203491,203490,32066,0,2,167642,True,train
1678128,665874,80864,80840,28216,1224,0,2,1678128,True,train
167964,233189,292628,292629,292625,200795,0,2,167964,True,id_novel_genus
1679721,1663717,186803,186802,186801,1239,0,2,1679721,True,id_novel_genus
168169,409304,543,91347,1236,1224,0,2,168169,True,id_novel_genus
1682490,2249462,90627,32003,28216,1224,0,2,1682490,True,train
168384,248744,186803,186802,186801,1239,0,2,168384,True,id_novel_genus
168471,168470,1499392,206351,28216,1224,0,2,168471,True,id_novel_genus
1685010,59732,2762318,200644,117743,976,0,2,1685010,True,train
168695,168694,28056,85008,1760,201174,0,2,168695,True,train
169176,2827482,335929,204457,28211,1224,0,2,169176,True,train
169435,244127,216572,186802,186801,1239,0,2,169435,True,train
1697053,1654787,135621,72274,1236,1224,0,2,1697053,True,train
1702221,1729679,128827,526525,526524,1239,0,2,1702221,True,train
1702325,28209,2036754,356,28211,1224,0,2,1702325,True,ood_novel_family
1704307,134550,0,0,134549,74201,0,2,1704307,True,train
1704499,762296,403,135618,1236,1224,0,2,1704499,True,id_novel_genus
